Dag II,135,action,9.0
The Dark Knight,152,action,9.0
Inception,148,action,8.8
The Matrix,136,action,8.7
Star Wars: Episode V - The Empire Strikes Back,124,action,8.7
Star Wars,121,action,8.6
Shichinin no samurai,207,action,8.6
Avengers: Endgame,181,action,8.5
Avengers: Infinity War,149,action,8.5
Gladiator,155,action,8.5
Léon,110,action,8.5
Terminator 2: Judgment Day,137,action,8.5
Uri: The Surgical Strike,138,action,8.4
Dangal,161,action,8.4
Spider-Man: Into the Spider-Verse,117,action,8.4
The Dark Knight Rises,164,action,8.4
Oldeuboi,101,action,8.4
Aliens,137,action,8.4
Raiders of the Lost Ark,115,action,8.4
Ford v. Ferrari,152,action,8.3
Star Wars: Episode VI - Return of the Jedi,131,action,8.3
K.G.F: Chapter 1,156,action,8.2
Baahubali 2: The Conclusion,167,action,8.2
Vishwaroopam,148,action,8.2
Gangs of Wasseypur,321,action,8.2
Paan Singh Tomar,135,action,8.2
V for Vendetta,132,action,8.2
Batman Begins,140,action,8.2
Hera Pheri,156,action,8.2
Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo,87,action,8.2
Indiana Jones and the Last Crusade,127,action,8.2
Die Hard,132,action,8.2
Ran,162,action,8.2
Sholay,198,action,8.2
Yôjinbô,110,action,8.2
White Heat,114,action,8.2
Sherlock Jr.,45,action,8.2
Haider,160,action,8.1
Logan,137,action,8.1
Bahubali: The Beginning,159,action,8.1
1 - Nenokkadine,170,action,8.1
Mad Max: Fury Road,120,action,8.1
How to Train Your Dragon,98,action,8.1
Tropa de Elite,115,action,8.1
Taegukgi hwinalrimyeo,140,action,8.1
Salinui chueok,131,action,8.1
Kill Bill: Vol. 1,111,action,8.1
Jurassic Park,127,action,8.1
Akira,124,action,8.1
Blade Runner,117,action,8.1
The Lord of the Rings: The Return of the King,201,adventure,8.9
Inception,148,adventure,8.8
The Lord of the Rings: The Fellowship of the Ring,178,adventure,8.8
The Lord of the Rings: The Two Towers,179,adventure,8.7
Star Wars: Episode V - The Empire Strikes Back,124,adventure,8.7
Interstellar,169,adventure,8.6
Sen to Chihiro no kamikakushi,125,adventure,8.6
Star Wars,121,adventure,8.6
Shichinin no samurai,207,adventure,8.6
Avengers: Endgame,181,adventure,8.5
Avengers: Infinity War,149,adventure,8.5
Gladiator,155,adventure,8.5
The Lion King,88,adventure,8.5
Back to the Future,116,adventure,8.5
